session	challenge	difficulty	qubits	method	method_family	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
tree_tensor_sim_session	16_2	very easy	16	aer_tree_mps_all	mps	challenge-16_2.tree_tensor_mps:trial8:greedy:bd128:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260612	greedy	0.6311668090056628	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	collector_snapshot	collector	collector_selected:16_2	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	collector_evidence:16_2:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
tree_tensor_sim_session	16_2	very easy	16	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
tree_tensor_sim_session	16_2	very easy	16	quimb_cpu_all	quimb	challenge-16_2.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	11.555157506139949	graph_ordered_mps_fallback
tree_tensor_sim_session	16_2	very easy	16	quimb_cpu_all	quimb	collector_evidence:16_2:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction	801d2ef			30			11.555157506139949	collector priority 80
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	1.268552582943812	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	1.198030395898968	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	1.1861048631835729	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	1.1969030960462987	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	1.23101747315377	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial6:mincut:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260610	mincut	1.3231787038967013	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial7:greedy:bd64:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260611	greedy	1.9115295419469476	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	aer_tree_mps_all	mps	challenge-24_3.tree_tensor_mps:trial8:greedy:bd128:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-24_3.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260612	greedy	2.000560480868444	graph_ordered_mps_fallback
tree_tensor_sim_session	24_3	very easy	24	collector_snapshot	collector	collector_selected:24_3	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
tree_tensor_sim_session	24_3	very easy	24	exact_statevector	exact	collector_evidence:24_3:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
tree_tensor_sim_session	24_3	very easy	24	exact_statevector	exact	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.7303320439968957	exact statevector top list
tree_tensor_sim_session	24_3	very easy	24	exact_statevector	exact	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.7303320439968957	exact statevector top list
tree_tensor_sim_session	24_3	very easy	24	quimb_cpu_all	quimb	challenge-24_3.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-24_3.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	12.476727702189237	graph_ordered_mps_fallback
