challenge	difficulty	qubits	method	method_family	source_sessions	run_id	status	source_path	worktree	commit	backend	shots	max_bond	seed	ordering	seconds	notes
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial5:rcm:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260609	rcm	0.4893313869833946	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial6:rcm:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260610	rcm	0.3638598290272057	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial7:spectral:bd32:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	32	20260611	spectral	0.21219185704831034	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial8:spectral:bd64:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	64	20260612	spectral	0.26774319796822965	graph_ordered_mps_fallback
16_12	easy	16	aer_tree_mps_pilot	mps	tree_tensor_sim_session	challenge-16_12.tree_tensor_mps:trial9:spectral:bd128:seed20260613	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/pilot/json/challenge-16_12.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		4096	128	20260613	spectral	0.26195615995675325	graph_ordered_mps_fallback
16_12	easy	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=73; snapped=129
16_12	easy	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=73; snapped=129
16_12	easy	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_12	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
16_12	easy	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_12	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
16_12	easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
16_12	easy	16	exact_statevector	exact	tree_tensor_sim_session	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.3803794609993929	exact statevector top list
16_12	easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.3803794609993929	exact statevector top list
16_12	easy	16	peaked_mpo_mps	mpo	tree_tensor_sim_session	challenge-16_12.peaked_mpo_mps	ok	../quantum-junction-tree-tensor/outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	quantum-junction-tree-tensor	ebe2a6a	cuda		512	123		113.71320221800124	peaked circuit MPO/MPS marginal candidate
16_12	easy	16	peaked_mpo_mps	mpo	quantum_peak_session,tree_tensor_sim_session	challenge-16_12.peaked_mpo_mps	ok	outputs/peaked_circuit_sim_all/json/challenge-16_12.peaked_mpo_mps.json	quantum-junction	ebe2a6a	cuda		512	123		113.71320221800124	peaked circuit MPO/MPS marginal candidate
16_12	easy	16	quimb_cpu_all	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	5.105488528031856	graph_ordered_mps_fallback
16_12	easy	16	quimb_cpu_all	quimb	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:3	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	801d2ef			24			5.105488528031856	collector priority 80
16_12	easy	16	quimb_gpu_all	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	cuda	1024	512	20260605	weighted_spectral	10.699602320091799	graph_ordered_mps_fallback
16_12	easy	16	quimb_gpu_all	quimb	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_12:2	correct	outputs/tree_tensor_sim/all/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction	801d2ef			24			10.699602320091799	collector priority 90
16_12	easy	16	quimb_pilot	quimb	tree_tensor_sim_session	challenge-16_12.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/quimb_pilot/json/challenge-16_12.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	cuda	2048	512	20260605	weighted_spectral	14.859132678015158	graph_ordered_mps_fallback
16_12	easy	16	tno_contract_core_cpu	tno	tno_contract_core_cpu	challenge-16_12.tno	started	outputs/tno_sim_cpu/json/challenge-16_12.tno.json	quantum-junction	6a48044	numpy		32				local-late
16_12	easy	16	tno_contract_core_gpu	tno	tno_contract_core_gpu	challenge-16_12.tno	error	outputs/tno_sim_gpu/json/challenge-16_12.tno.json	quantum-junction	6a48044	cuda		32			65.31754409405403	OutOfMemoryError
16_2	very_easy	16	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_summary.tsv	quantum-junction	fc4f546		12288	64				classification=exact_match; completed=4/4; exact_match=True; matches_previous=True; settings=cheap_check:2048/bd32x2; confirm:4096/bd64x2
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	0.7534944289363921	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	0.7216240558773279	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	0.7245323830284178	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	0.7006303928792477	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	0.6681410600431263	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial6:mincut:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260610	mincut	0.6740041798911989	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial7:greedy:bd64:seed20260611	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260611	greedy	0.6204755869694054	graph_ordered_mps_fallback
16_2	very easy	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_2.tree_tensor_mps:trial8:greedy:bd128:seed20260612	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_2.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260612	greedy	0.6311668090056628	graph_ordered_mps_fallback
16_2	very easy	16	algebraic_simplify_cxswap	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=89; snapped=120
16_2	very easy	16	algebraic_simplify_swaponly	heuristic	algebraic_simplify	static_summary	static_analysis	agent_work/algebraic_simplify/summary.csv	quantum-junction	019dc8c							linear_windows=89; snapped=120
16_2	very easy	16	collector_snapshot	collector	tree_tensor_sim_session	collector_selected:16_2	exact	research/tree_tensor_sim_session/artifacts/collector/CANDIDATES.tsv	quantum-junction	801d2ef							selected from exact_statevector
16_2	very easy	16	collector_snapshot	collector	quantum_peak_session	collector_selected:16_2	exact	research/quantum_peak_session/results/current_candidates/CANDIDATES.tsv	quantum-junction	a6e43e8							selected from exact_statevector
16_2	very easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_2:1	exact	agent_work/exact_baseline/peaks_exact.csv	quantum-junction	019dc8c							collector priority 100
16_2	very easy	16	exact_statevector	exact	tree_tensor_sim_session	exact_statevector	ok	../quantum-junction-tree-tensor/agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction-tree-tensor	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
16_2	very easy	16	exact_statevector	exact	quantum_peak_session,tree_tensor_sim_session	exact_statevector	ok	agent_work/exact_baseline/peaks_exact.jsonl	quantum-junction	019dc8c	qiskit-aer-statevector					0.02058972699160222	exact statevector top list
16_2	very easy	16	quimb_cpu_all	quimb	tree_tensor_sim_session	challenge-16_2.quimb_tree_graph_mps	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction-tree-tensor	7b27bc7	numpy	1024	512	20260605	weighted_spectral	11.555157506139949	graph_ordered_mps_fallback
16_2	very easy	16	quimb_cpu_all	quimb	quantum_peak_session,tree_tensor_sim_session	collector_evidence:16_2:2	correct	outputs/tree_tensor_sim/all_cpu/json/challenge-16_2.quimb_tree_graph_mps.json	quantum-junction	801d2ef			30			11.555157506139949	collector priority 80
16_28	moderate	16	aer_mps_adaptive_sweep	mps	mps_adaptive_sweep	adaptive_sweep_aggregate	ok	agent_work/mps_adaptive_sweep/report/tables/mps_adaptive_summary.tsv	quantum-junction	fc4f546		40960	128				classification=exact_match; completed=6/6; exact_match=True; matches_previous=True; settings=baseline:4096/bd64x2; more_bond:8192/bd128x2; more_shots:8192/bd64x2
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial1:rcm:bd64:seed20260605	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260605	rcm	10.971600827295333	graph_ordered_mps_fallback
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial2:rcm:bd128:seed20260606	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260606	rcm	63.52710643270984	graph_ordered_mps_fallback
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial3:spectral:bd64:seed20260607	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260607	spectral	10.88743345811963	graph_ordered_mps_fallback
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial4:spectral:bd128:seed20260608	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260608	spectral	60.55915809189901	graph_ordered_mps_fallback
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial5:mincut:bd64:seed20260609	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	64	20260609	mincut	11.008518408052623	graph_ordered_mps_fallback
16_28	moderate	16	aer_tree_mps_all	mps	tree_tensor_sim_session	challenge-16_28.tree_tensor_mps:trial6:mincut:bd128:seed20260610	ok	../quantum-junction-tree-tensor/outputs/tree_tensor_sim/all/json/challenge-16_28.tree_tensor_mps.json	quantum-junction-tree-tensor	7b27bc7		8192	128	20260610	mincut	60.238834478426725	graph_ordered_mps_fallback
